

 CONTINGENCY SCREENING ANALYSIS REPORT 

 LINE OUTAGE CONDITION BETWEEN BUS 56 AND 39 

 date: 11 / 10 / 2011 	 	 Time: 8:55 AM
 *=======Bus Information=========*
 	 BUS | 	 VOLTAGE/ANGLE
 *===============================*
 *  1 	 | 	 1.0473 / 0.0019 	 *
 *  2 	 | 	 1.0098 / 0.0513 	 *
 *  3 	 | 	 0.9890 / 0.0451 	 *
 *  4 	 | 	 1.0393 / 0.0053 	 *
 *  5 	 | 	 0.9891 / 0.0451 	 *
 *  6 	 | 	 0.9891 / 0.0451 	 *
 *  7 	 | 	 1.0098 / -0.0171 	 *
 *  8 	 | 	 0.9974 / 0.0302 	 *
 *  9 	 | 	 0.9975 / 0.0307 	 *
 * 10 	 | 	 1.0115 / -0.1047 	 *
 * 11 	 | 	 1.0115 / -0.1047 	 *
 * 12 	 | 	 0.9863 / 0.1019 	 *
 * 13 	 | 	 0.9737 / 0.1317 	 *
 * 14 	 | 	 0.9439 / 0.1319 	 *
 * 15 	 | 	 0.9773 / 0.1251 	 *
 * 16 	 | 	 0.9860 / 0.1024 	 *
 * 17 	 | 	 0.9860 / 0.1024 	 *
 * 18 	 | 	 0.9860 / 0.1024 	 *
 * 19 	 | 	 0.9862 / 0.1021 	 *
 * 20 	 | 	 0.9861 / 0.1022 	 *
 * 21 	 | 	 0.9795 / 0.1115 	 *
 * 22 	 | 	 0.9969 / 0.0736 	 *
 * 23 	 | 	 1.0248 / 0.0130 	 *
 * 24 	 | 	 0.9973 / 0.0737 	 *
 * 25 	 | 	 0.9867 / 0.1019 	 *
 * 26 	 | 	 0.9965 / 0.1184 	 *
 * 27 	 | 	 0.9948 / 0.1108 	 *
 * 28 	 | 	 0.9967 / 0.1342 	 *
 * 29 	 | 	 0.9880 / 0.1679 	 *
 * 30 	 | 	 0.9970 / 0.1257 	 *
 * 31 	 | 	 0.9977 / 0.1245 	 *
 * 32 	 | 	 1.0029 / 0.1433 	 *
 * 33 	 | 	 0.9897 / 0.1720 	 *
 * 34 	 | 	 0.9873 / 0.1847 	 *
 * 35 	 | 	 0.9677 / 0.2305 	 *
 * 36 	 | 	 0.9292 / 0.2102 	 *
 * 37 	 | 	 0.9749 / 0.2095 	 *
 * 38 	 | 	 0.9864 / 0.1898 	 *
 * 39 	 | 	 0.9978 / 0.0780 	 *
 * 40 	 | 	 0.9954 / 0.1270 	 *
 * 41 	 | 	 0.9853 / 0.1659 	 *
 * 42 	 | 	 0.9684 / 0.2078 	 *
 * 43 	 | 	 0.9754 / 0.1956 	 *
 * 44 	 | 	 0.9778 / 0.1904 	 *
 * 45 	 | 	 0.9783 / 0.1869 	 *
 * 46 	 | 	 1.0027 / 0.1711 	 *
 * 47 	 | 	 1.0416 / 0.1260 	 *
 * 48 	 | 	 1.1186 / 0.1101 	 *
 * 49 	 | 	 1.0392 / 0.1319 	 *
 * 50 	 | 	 1.0378 / 0.1429 	 *
 * 51 	 | 	 1.0258 / 0.1656 	 *
 * 52 	 | 	 1.0271 / 0.0959 	 *
 * 53 	 | 	 1.0192 / 0.0921 	 *
 * 54 	 | 	 1.0261 / 0.0963 	 *
 * 55 	 | 	 1.0230 / 0.0929 	 *
 * 56 	 | 	 1.0277 / 0.1451 	 *
 * 57 	 | 	 1.0235 / 0.1740 	 *
 * 58 	 | 	 1.0236 / 0.1687 	 *
 * 59 	 | 	 1.0275 / 0.1468 	 *
 * 60 	 | 	 1.0370 / 0.1215 	 *
 * 61 	 | 	 1.0397 / 0.1260 	 *
 * 62 	 | 	 1.0199 / 0.1212 	 *
 * 63 	 | 	 1.0373 / 0.1456 	 *
 * 64 	 | 	 1.0354 / 0.1552 	 *
 * 65 	 | 	 1.0310 / 0.1667 	 *
 * 66 	 | 	 1.0347 / 0.1592 	 *
 * 67 	 | 	 1.0202 / 0.0795 	 *
 * 68 	 | 	 0.9897 / -0.0558 	 *
 * 69 	 | 	 1.0078 / -0.0147 	 *
 * 70 	 | 	 1.0079 / -0.0142 	 *
 * 71 	 | 	 0.9979 / -0.1454 	 *
 * 72 	 | 	 0.9820 / -0.0023 	 *
 * 73 	 | 	 0.9820 / -0.0023 	 *
 * 74 	 | 	 1.0315 / -0.0246 	 *
 * 75 	 | 	 0.9992 / -0.1360 	 *
 * 76 	 | 	 0.9500 / -0.0384 	 *
 * 77 	 | 	 0.9500 / -0.0384 	 *
 * 78 	 | 	 1.0206 / 0.1116 	 *
 * 79 	 | 	 1.0310 / 0.1170 	 *
 * 80 	 | 	 1.0096 / 0.0516 	 *
 * 81 	 | 	 1.0234 / 0.0186 	 *
 * 82 	 | 	 1.0241 / 0.0355 	 *
 * 83 	 | 	 1.0191 / -0.0222 	 *
 * 84 	 | 	 1.0175 / -0.1114 	 *
 * 85 	 | 	 1.0243 / 0.0652 	 *
 *===============================*
 
 SYSTEM HEALTHINESS REPORT
 There are no bus voltage violations.
 *===============================*
 ALERT: The line from bus 38 to 33 is overloaded. ACTION NEEDED!
 *===============================*
